atga_last_6,atgf_last_6,atsa_last_6,atsf_last_6,atsta_last_6,atstf_last_6,htga_last_6,htgf_last_6,htsa_last_6,htsf_last_6,htsta_last_6,htstf_last_6,FTR
10,7,76,54,39,32,10,10,52,73,26,40,H
9,9,60,71,39,33,12,11,72,68,29,42,D
4,7,55,63,25,31,6,14,40,67,22,45,H
12,7,86,58,44,36,6,11,71,62,37,38,H
14,3,72,55,38,29,7,7,63,47,34,25,H
4,17,70,80,33,41,6,11,52,81,29,50,D
13,2,53,66,34,39,10,7,63,61,37,28,A
11,2,76,60,42,24,12,2,63,49,34,23,A
7,12,52,73,28,47,4,9,63,66,29,28,A
6,11,67,55,37,33,5,18,67,79,35,41,H
11,12,60,71,40,32,12,4,84,53,46,31,H
14,12,66,69,28,39,8,7,85,71,50,39,H
4,8,62,47,31,22,12,5,83,46,44,31,A
4,9,51,59,26,31,4,6,57,63,25,28,H
9,11,61,73,31,41,6,8,61,70,34,42,A
5,12,40,81,18,50,11,5,70,68,36,30,H
5,8,58,67,26,29,4,7,60,61,30,32,H
11,6,66,55,36,24,10,3,89,59,53,26,A
9,7,72,74,37,34,12,11,65,74,41,36,D
11,2,63,62,36,32,8,3,53,59,31,33,H
7,7,58,54,30,30,5,12,53,81,23,51,H
3,6,59,69,25,32,8,10,69,55,40,29,D
9,10,72,76,42,41,3,8,55,55,27,27,H
14,2,83,39,45,27,8,12,65,67,33,34,H
12,5,77,58,42,30,14,14,69,62,29,37,H
8,9,63,56,37,27,12,15,61,74,29,38,A
9,12,60,78,36,41,12,5,82,55,47,31,A
12,12,65,79,44,40,13,2,67,51,40,29,A
8,8,83,73,38,37,10,7,65,46,37,26,H
6,7,60,63,35,27,5,9,56,65,30,33,H
10,11,62,77,35,42,14,3,84,38,44,28,H
6,9,41,70,19,40,1,6,61,65,27,33,D
14,4,81,54,43,28,4,15,51,86,22,55,D
4,6,57,64,29,33,7,6,47,62,27,35,A
5,19,66,82,30,51,11,9,64,54,36,26,A
10,7,75,48,45,24,7,4,53,62,33,28,H
3,6,57,69,27,36,12,11,64,76,42,37,D
4,12,48,65,25,35,12,11,70,86,47,44,H
13,5,87,45,45,33,5,20,53,89,27,61,H
5,14,53,86,26,52,4,7,62,72,26,38,H
11,9,77,46,45,26,13,3,80,58,43,30,H
16,5,89,59,53,35,10,10,69,56,41,28,D
12,2,72,51,41,30,9,9,81,69,41,41,H
8,5,51,64,30,31,7,15,57,87,36,49,A
12,15,64,75,31,39,8,9,52,59,26,36,A
10,9,71,74,41,36,9,11,53,83,28,48,H
11,7,63,90,41,45,16,6,89,63,54,39,D
9,15,60,85,30,51,11,2,73,58,41,35,A
14,8,74,76,45,34,4,7,43,62,26,30,A
7,8,81,67,41,36,11,17,78,75,37,39,H
6,10,68,58,40,27,14,8,86,47,53,26,A
8,13,52,76,33,44,6,9,56,78,29,45,H
10,5,78,60,40,30,16,5,93,43,53,31,A
7,8,53,73,33,38,3,5,60,64,29,30,H
4,6,66,73,27,41,5,11,57,56,31,31,D
6,21,46,92,23,64,11,8,76,56,41,31,A
12,5,73,74,40,38,3,8,72,80,36,50,A
17,1,85,59,44,20,10,4,64,78,33,42,D
2,9,60,71,21,44,9,9,86,62,38,30,A
12,6,106,62,52,23,11,8,75,65,41,36,H
12,5,70,84,38,30,8,14,59,83,35,46,D
4,9,61,107,32,59,9,7,79,51,40,22,H
